No,Nama_Dosen,Prodi,Fakultas,Profile_URL_SINTA,Profile_URL_GScholar,Sinta_Score,Sinta_Score_3Yr,Affil_Score,Affil_Score_3Yr,Total_Publikasi_GS,Sitasi_GS,h_index_GS,i10_index_GS,Pub_2020,Pub_2021,Pub_2022,Pub_2023,Pub_2024,Pub_2025,Pub_2026,Kategori_Kinerja,Anomali,Keterangan_Anomali
11,NANI YUNIAR,Kesehatan Masyarakat (S2),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/5988189,https://scholar.google.com/citations?user=E08cAOEAAAAJ,1114,405,11530600,2306000,227,729,13,18,9,23,11,14,25,22,13,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
12,SUHAR,Pendidikan Matematika (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6002848,,5803,1196,5803,1196,221,3157,29,97,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
13,SYAIFUDIN SUHRI KASIM,Sosiologi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/5988039,https://scholar.google.com/citations?user=gMw4NBAAAAAJ,850,389,9331900,3941150,221,241,8,4,18,29,29,22,27,39,8,Berpengaruh,Tidak,
14,SAHLAN,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/5982895,,6859,915,6859,915,220,2921,28,83,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
15,DHIAN HERDHIANSYAH,Teknologi Pangan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5976121,https://scholar.google.com/citations?user=veA3eeIAAAAJ,1593,595,7750290,3020150,219,534,13,17,24,19,39,29,39,32,9,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
16,ADRYAN FRISTIOHADY,Farmasi (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5988455,https://scholar.google.com/citations?user=2fzyu0AAAAAJ,3031,973,12202100,4250720,214,1213,19,42,24,30,14,24,25,40,16,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
17,OHEO KAIMUDDIN HARIS,Hukum (S2),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/5998653,https://scholar.google.com/citations?user=JMySA9QAAAAJ,672,189,9857440,6713060,204,782,11,17,11,3,17,67,50,27,8,Produktif,Ya,[D] Lonjakan Tidak Wajar: 467% di Tahun 2022. 
18,SAHIDIN,Farmasi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/259654,https://scholar.google.com/citations?user=B62kkCwAAAAJ,4397,838,17693100,2131880,197,2656,24,70,22,26,21,11,9,8,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
19,TAKDIR SAILI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/257163,https://scholar.google.com/citations?user=H3w3LcIAAAAJ,1826,610,11427600,1335550,196,889,15,26,24,18,17,13,21,23,4,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
20,LA ODE ALWI,Perencanaan Dan Pengembangan Wilayah (S2),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/6796765,https://scholar.google.com/citations?user=yZsJ-jcAAAAJ,1625,749,7927110,3661730,196,303,10,12,13,14,16,36,36,24,7,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
21,ASLIM,Ilmu Sejarah (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6017804,https://scholar.google.com/citations?user=FJWvf0YAAAAJ,4507,696,0,0,194,1067,18,27,24,8,9,18,21,17,6,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
22,LA AGUSU,Fisika (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/259651,https://scholar.google.com/citations?user=xLgpagsAAAAJ,1624,150,8542270,696868,189,1701,20,31,2,4,5,11,15,11,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
23,LA ODE NAFIU,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/5980562,https://scholar.google.com/citations?user=iuyw0jkAAAAJ,1654,511,7223770,649551,183,1109,15,29,44,19,16,13,12,8,2,Berpengaruh,Tidak,
24,DEKI ZULKARNAIN,Peternakan (S2),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6198781,https://scholar.google.com/citations?user=ijZAGkYAAAAJ,1402,580,7600170,2532900,181,504,11,15,11,22,22,52,30,14,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
25,SYAMSU ALAM,Ilmu Tanah (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/258838,https://scholar.google.com/citations?user=lAknYy0AAAAJ,1214,451,11145100,3638550,177,998,13,18,6,8,15,31,26,17,6,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
26,FAISAL DANU TUHETERU,Kehutanan (S1),Fakultas Kehutanan dan Ilmu Lingkungan,https://sinta.kemdiktisaintek.go.id/authors/profile/5972520,https://scholar.google.com/citations?user=3IcBAp4AAAAJ,1276,331,8931880,1380180,173,762,13,25,16,18,14,15,15,14,2,Berpengaruh,Tidak,
27,RANNO MARLANY RACHMAN,Teknik Rekayasa Infrastruktur dan Lingkungan (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6708861,https://scholar.google.com/citations?user=qNv5UL0AAAAJ,3427,606,7667180,5493650,172,1260,14,24,4,12,8,20,58,49,10,Berpengaruh,Tidak,
28,MUHAMMAD ARSYAD,Arsitektur (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6691526,https://scholar.google.com/citations?user=9R-4xt0AAAAJ,2441,1067,0,0,169,492,11,13,11,13,11,15,17,26,3,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
29,LA ODE ALIFARIKI,Keperawatan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6158036,https://scholar.google.com/citations?user=pKr8zCwAAAAJ,1550,366,6819560,1507920,166,1595,22,45,41,16,24,14,7,12,4,Berpengaruh,Tidak,
30,MUHAMMAD ASWAR LIMI,Agribisnis (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5973597,https://scholar.google.com/citations?user=CZgQKmcAAAAJ,1663,398,7716130,1828600,166,692,13,15,13,21,15,18,16,9,2,Berpengaruh,Tidak,
31,MA'RUF KASIM,Ilmu Perikanan (S2),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/258161,https://scholar.google.com/citations?user=-mdhnVsAAAAJ,2551,417,9450380,635206,162,1180,17,32,11,15,14,6,12,7,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
32,GUSTI AYU KADEK SUTARIATI,Ilmu Pertanian (S3),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/259562,https://scholar.google.com/citations?user=05ctNs4AAAAJ,1558,184,9541540,1188970,160,1119,19,39,13,24,12,9,12,13,2,Berpengaruh,Tidak,
33,RUSLI BADARUDDIN,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/5981320,https://scholar.google.com/citations?user=N-FOsawAAAAJ,974,318,8785010,2752710,160,454,9,9,18,18,34,18,22,19,6,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
34,DEDY TAKDIR SYAIFUDDIN,Ilmu Manajemen (S3),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6013668,https://scholar.google.com/citations?user=h7scYIUAAAAJ,523,199,6336060,1876840,159,753,11,13,12,11,7,14,17,22,4,Produktif,Tidak,
35,ASRIYANA,Ilmu Perikanan (S2),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/257504,https://scholar.google.com/citations?user=wGcp1xYAAAAJ,1229,261,7056670,384891,159,608,13,17,14,12,8,5,6,6,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
36,USMAN RIANSE,Penyuluhan Pertanian (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5973929,https://scholar.google.com/citations?user=vpSaWaQAAAAJ,1468,253,9220950,1056780,158,1915,17,23,4,10,1,13,15,12,8,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 1200% di Tahun 2023. 
37,YANI,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6823050,,3448,1356,0,0,157,2716,26,75,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
38,MUSRAM ABADI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/5992942,https://scholar.google.com/citations?user=RwyUdKEAAAAJ,1566,618,3651970,1676840,157,493,11,15,19,20,17,28,22,24,9,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
39,ACHMAD SELAMET AKU,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/259102,https://scholar.google.com/citations?user=Lc2ETpgAAAAJ,1139,439,6769280,1093540,152,567,12,15,17,21,12,21,17,10,4,Berpengaruh,Tidak,
40,MAULIDIYAH,Kimia (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/257907,https://scholar.google.com/citations?user=VBIYJ34AAAAJ,4567,782,11379600,1313730,151,1977,25,59,13,29,18,24,9,19,4,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
41,KADIR,Unknown,Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6763717,https://scholar.google.com/citations?user=prk8zCMAAAAJ,2398,915,2398,915,151,829,17,28,73,84,110,139,140,155,38,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
42,ARIS,Pendidikan Bahasa Dan Sastra Indonesia (S2),,https://sinta.kemdiktisaintek.go.id/authors/profile/5989087,,4744,1346,6144,1787,150,1746,20,53,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
43,FEBRIANA MUCHTAR,Gizi (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6768912,https://scholar.google.com/citations?user=yNWWmZ8AAAAJ,247,166,5929170,3712500,150,740,14,19,6,10,18,22,33,45,8,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
44,RIZAL ADI SAPUTRA,Teknik Informatika (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6195307,https://scholar.google.com/citations?user=tyvqWkYAAAAJ,1246,370,6903600,3368500,150,541,10,13,4,10,12,24,45,20,10,Berpengaruh,Tidak,
45,YUSUF SABILU,Kesehatan Masyarakat (S2),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6016062,https://scholar.google.com/citations?user=GGagovEAAAAJ,1597,342,9741030,2373540,149,819,14,23,7,25,15,13,20,11,4,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
46,ANDI KHAERUNI R,Proteksi Tanaman (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/5974270,https://scholar.google.com/citations?user=udHtMP8AAAAJ,1473,231,8913680,803188,146,959,16,34,10,19,10,17,6,7,3,Berpengaruh,Tidak,
47,LA ODE ARSAD SANI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/5981665,https://scholar.google.com/citations?user=6veyCD8AAAAJ,1305,434,5185280,1014990,145,485,11,14,15,36,15,19,21,5,0,Berpengaruh,Tidak,
48,RAHMAT,Pendidikan Matematika (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6006638,,4797,1622,0,0,144,1893,22,51,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
49,LA INO,Sastra Indonesia (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5972555,https://scholar.google.com/citations?user=LKlcDZ8AAAAJ,762,268,6877770,1386960,143,335,9,8,9,7,10,8,12,11,4,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
50,ASNIA ZAINUDDIN,Kesehatan Masyarakat (S2),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6199914,https://scholar.google.com/citations?user=6d0vEk0AAAAJ,215,57,7353950,2775910,142,371,10,10,11,22,20,13,22,25,6,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
51,M. TUFAILA,Ilmu Tanah (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors?q=M.+TUFAILA&search=1,https://scholar.google.com/citations?user=pVRYxfIAAAAJ,0,0,0,0,138,17611,38,52,6,12,9,12,3,6,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
52,LA ODE BALAWA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6857647,https://scholar.google.com/citations?user=XA5pa6MAAAAJ,215,50,6392680,1376040,138,905,14,18,15,16,14,12,0,0,0,Produktif,Tidak,
53,WAHYUNI,Farmasi (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6032834,https://scholar.google.com/citations?user=nTIJB3IAAAAJ,3623,1251,0,0,138,856,17,31,12,13,9,16,8,25,6,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
54,MUHAMMAD AMIR,Ilmu Pemerintahan (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6671312,https://scholar.google.com/citations?user=HSf2MUAAAAAJ,961,363,957,360,138,438,11,12,7,5,17,18,30,19,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
55,RAHMAT SEWA SURAYA,Tradisi Lisan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6653366,https://scholar.google.com/citations?user=4sKjivoAAAAJ,1085,494,5322640,1818720,134,172,6,2,7,16,15,27,25,17,0,Berpengaruh,Tidak,
56,LA ODE MUHAMMAD ERIF,Ilmu Lingkungan (S1),Fakultas Kehutanan dan Ilmu Lingkungan,https://sinta.kemdiktisaintek.go.id/authors/profile/6670981,https://scholar.google.com/citations?user=oM3QHE0AAAAJ,973,445,4528130,2749330,134,77,4,1,1,5,7,17,24,40,18,Berpengaruh,Tidak,
57,ADRIAN TAWAI,Ilmu Administrasi Negara (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6810277,https://scholar.google.com/citations?user=wzbCO2QAAAAJ,1432,465,4722750,1758130,133,334,8,6,9,13,15,24,18,13,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
58,JUMAKIL,Kesehatan Masyarakat (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6198640,https://scholar.google.com/citations?user=KF3Gnw4AAAAJ,495,96,5899730,2140930,133,218,7,3,15,10,12,10,14,19,8,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
59,MUHIDIN,Ilmu Pertanian (S3),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/257119,https://scholar.google.com/citations?user=2kN5BqYAAAAJ,2312,390,6277130,199426,132,992,20,30,9,16,1,3,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
60,WEKA WIDAYATI,Geografi (S2),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/5973149,https://scholar.google.com/citations?user=IG-nhuIAAAAJ,689,170,6039600,368301,132,454,10,10,4,5,6,1,7,5,5,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 600% di Tahun 2024. 
61,IRMA,Kesehatan Masyarakat (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6724533,https://scholar.google.com/citations?user=o9VqRBwAAAAJ,2651,1383,1776,963,132,282,10,11,8,9,25,30,15,26,16,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
62,HARMIN,Pendidikan Bahasa Dan Sastra Indonesia (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/5977574,https://scholar.google.com/citations?user=[your_scholar_id],3513,686,3513,686,130,1566,21,43,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
63,SITI RABBANI KARIMUNA,Kesehatan Masyarakat (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6680732,https://scholar.google.com/citations?user=rsvPbHIAAAAJ,782,222,5897770,2915440,130,531,8,7,6,10,2,6,31,35,17,Produktif,Ya,[D] Lonjakan Tidak Wajar: 417% di Tahun 2024. 
64,IRFAN,Pendidikan Akuntansi (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6028310,,4616,1212,0,0,129,1081,16,31,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
65,LA ODE SANTIAJI BANDE,Proteksi Tanaman (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/259538,https://scholar.google.com/citations?user=Srl54LQAAAAJ,1171,480,6685770,1723030,129,370,11,15,8,8,11,20,16,16,3,Berpengaruh,Tidak,
66,ALI BAIN,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6090943,https://scholar.google.com/citations?user=KSJXzngAAAAJ,1390,462,7255360,2461800,129,306,9,8,10,12,20,15,20,21,3,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
67,PATWAYATI,Manajemen (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6015700,https://scholar.google.com/citations?user=AIp9q_cAAAAJ,351,48,4914420,1424600,128,1152,14,18,15,9,7,10,13,30,15,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
68,WELLEM HENRIK MUSKITA,Budidaya Perairan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/260131,https://scholar.google.com/citations?user=8XLxWggAAAAJ,1393,328,7675610,1251330,128,470,12,14,8,13,8,10,10,9,3,Berpengaruh,Tidak,
69,I NYOMAN SUDIANA,Fisika (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/260286,https://scholar.google.com/citations?user=P2PyeFAAAAAJ,2195,368,6143250,1287010,127,767,17,21,4,3,5,9,12,13,3,Berpengaruh,Tidak,
70,GUSTI NGURAH ADHI WIBAWA,Statistika (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5992573,https://scholar.google.com/citations?user=Cm-oaaQAAAAJ,690,147,5937190,1772630,126,739,10,12,8,17,15,13,11,17,3,Produktif,Tidak,
71,KOBAJASHI TOGO ISAMU,Teknologi Hasil Perikanan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/5972951,https://scholar.google.com/citations?user=7CkZ5BUAAAAJ,1985,669,5815690,902982,126,408,9,8,18,14,8,3,8,8,5,Berpengaruh,Tidak,
72,HASRIA,Teknik Geologi (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/5986903,https://scholar.google.com/citations?user=M_6RyNMAAAAJ,2323,547,0,0,126,254,8,6,13,15,18,10,15,7,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
73,MUHAMMAD NAJIB HUSAIN,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6655763,https://scholar.google.com/citations?user=prDN7VgAAAAJ,1282,369,5706060,2776260,124,379,9,8,12,8,4,27,19,16,3,Berpengaruh,Ya,[D] Lonjakan Tidak Wajar: 575% di Tahun 2023. 
74,IRWANSYAH,Ilmu Hukum (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/26632,,3127,829,0,0,122,2399,19,39,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
75,EDI CAHYONO,Matematika (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6031040,https://scholar.google.com/citations?user=dYUkXzcAAAAJ,830,359,0,0,121,759,14,20,7,8,6,9,9,8,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
76,TEGUH WIJAYANTO,Agroteknologi (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/259548,https://scholar.google.com/citations?user=g9CPs7YAAAAJ,1580,227,7082320,600336,121,735,13,21,7,9,8,11,11,4,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
77,SITTI AIDA ADHA TARIDALA,Agribisnis (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5973068,https://scholar.google.com/citations?user=G35j0xEAAAAJ,1025,245,5028740,615934,120,618,12,14,5,11,11,6,8,9,1,Berpengaruh,Tidak,
78,WIDHI KURNIAWAN,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6099239,https://scholar.google.com/citations?user=r2Ak46AAAAAJ,1903,540,0,0,120,315,8,8,11,17,18,15,16,13,3,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
79,SYAHRUN,Arkeologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6909370,https://scholar.google.com/citations?user=KU2yzcgAAAAJ,788,520,788,520,120,127,5,3,12,16,14,21,14,14,1,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
